,txn,avgo,Ratio,Spread
1149,162.72000122070312,465.5400085449219,2.860988231640269,50.87473931979795
1150,158.47000122070312,455.8999938964844,2.8768851541910876,46.943379606014076
1151,158.0,452.3900146484375,2.8632279408128958,48.952520614799
1152,157.7100067138672,450.6499938964844,2.8574597343978136,49.76651608471937
1153,157.66000366210938,448.8699951171875,2.8470758891975403,51.3868418911554
1154,156.50999450683594,446.8999938964844,2.85540866131054,49.684559637459046
1155,157.57000732421875,447.6000061035156,2.8406421609318464,52.36944878888781
1156,158.49000549316406,450.20001220703125,2.8405577424656543,52.70724022968162
1157,157.47000122070312,454.9100036621094,2.888867721697209,44.74010528457225
1158,158.1999969482422,456.3550109863281,2.8846714272417615,45.62616744300172
1159,156.83999633789062,451.989990234375,2.8818541238717166,45.64834645002995
1160,156.92999267578125,451.0799865722656,2.8744026484739655,46.84573222807879
1161,156.27000427246094,448.2099914550781,2.8681767402630385,47.608209769693445
1162,156.00999450683594,447.0249938964844,2.865361256562937,47.962927359550605
1163,154.77999877929688,443.9800109863281,2.8684585507679574,47.08020850915031
1164,159.69000244140625,457.0400085449219,2.8620452223527257,49.69915161370105
1165,159.4600067138672,457.1199951171875,2.8666748769014996,48.884727836695646
1166,158.73500061035156,455.5350036621094,2.8697829836553557,48.154582998666484
1167,159.35000610351562,457.4800109863281,2.870913043386668,48.1734509174012
1168,160.0800018310547,459.8399963378906,2.8725636624067308,48.14453504848686
1169,160.44000244140625,459.67999267578125,2.8651208282277323,49.454115899704306
1170,159.83999633789062,456.79998779296875,2.857857846964194,50.418142558886615
1171,165.07000732421875,476.32000732421875,2.885563616585204,47.59893173681061
1172,165.18499755859375,474.75,2.8740503497092624,49.53613330072412
1173,165.24000549316406,475.2300109863281,2.875998518445875,49.231777202148095
1174,164.5,475.375,2.889817629179331,46.72375487604572
1175,164.43499755859375,476.5899963378906,2.898348912420943,45.301188545970916
1176,164.5399932861328,478.2099914550781,2.9063450283693486,44.0164725640461
1177,165.2100067138672,479.989990234375,2.9053324298066636,44.376003915454675
1178,163.8300018310547,473.6600036621094,2.8911676638480333,46.2992698085811
1179,164.7100067138672,475.8800048828125,2.88919911046757,46.88935698910879
1180,166.25999450683594,480.7200012207031,2.8913750577619433,46.99888173245401
1181,167.4199981689453,483.70001220703125,2.8891411868188195,47.723069324957436
1182,167.64999389648438,483.8699951171875,2.8861915462755903,48.287523619540906
1183,168.72999572753906,486.4549865722656,2.8830379831087107,49.151263731787
1184,167.80999755859375,484.5799865722656,2.8876705418165933,48.088466187477565
1185,165.8800048828125,480.510009765625,2.89673255137101,45.995465789559915
1186,167.64999389648438,485.32000732421875,2.894840590473746,46.837511412509656
1187,167.66000366210938,483.44000244140625,2.8834545621011585,48.749480125104554
1188,168.0800018310547,484.5799865722656,2.8830317782798476,48.95066126064623
1189,167.47999572753906,481.1700134277344,2.872999914631683,50.44465618154729
1190,167.49000549316406,480.7699890136719,2.870439866534568,50.87664442539207
1191,166.5399932861328,479.32000732421875,2.878107521601119,49.29298580653901
1192,162.3000030517578,468.39349365234375,2.885973412477214,46.68008894597503
1193,161.11000061035156,466.07000732421875,2.892868261179021,45.203582656622046
1194,160.77000427246094,463.6099853515625,2.883684599310398,46.57790637438458
1195,160.5,462.7699890136719,2.8833021122347158,46.55570763910666
