,googl,meta,Ratio,Spread
644,116.93000793457031,211.0,1.804498295408205,-29.192964177445845
645,116.3709945678711,209.80999755859375,1.80294065834615,-28.879633488206906
646,116.70550537109375,209.4499969482422,1.794688230707237,-27.995036885255615
647,116.74449157714844,210.05099487304688,1.7992368807759855,-28.53489475937755
648,116.09950256347656,206.89999389648438,1.7820919928865613,-26.395396695675885
649,115.37300109863281,206.76800537109375,1.7921697745760032,-27.402742844690977
650,116.71299743652344,208.3800048828125,1.7854053058327448,-26.913295401084156
651,115.63899993896484,207.64999389648438,1.795674417852832,-27.867579145609227
652,117.36624908447266,208.0500030517578,1.7726561483788823,-25.55883279515504
653,116.83549499511719,207.39999389648438,1.7751454205346764,-25.741177828892603
654,116.69999694824219,207.60000610351562,1.7789204073037692,-26.153684615204753
655,115.44999694824219,205.08999633789062,1.7764400325608953,-25.603985202585648
656,115.04949951171875,203.35499572753906,1.7675435059743625,-24.497064009169463
657,115.62800598144531,203.75999450683594,1.7622027879606699,-23.99482101095765
658,113.5625,198.59559631347656,1.7487779532281922,-22.069649025296513
659,113.40950012207031,197.1999969482422,1.738831374232163,-20.913991455833525
660,114.5374984741211,200.2899932861328,1.7486848931958023,-22.23500631556516
661,113.85699462890625,199.8350067138672,1.755140361513922,-22.8472187297275
662,113.11146545410156,198.25399780273438,1.7527312284993957,-22.435384666464756
663,112.97650146484375,197.6649932861328,1.7496115627871747,-22.05803719420325
664,112.51100158691406,196.2100067138672,1.7439184075016536,-21.33307000596045
665,115.13249206542969,199.88999938964844,1.7361736535334538,-20.901914741469284
666,113.75,195.456298828125,1.718297132554945,-18.636304986994077
667,114.052001953125,196.52000427246094,1.7230736936404678,-19.226396387058884
668,114.58349609375,198.2322998046875,1.7300248863282865,-20.105177146142097
669,115.14799499511719,200.40750122070312,1.7404341363408138,-21.395104129669306
670,114.98799896240234,198.9199981689453,1.7299196434750224,-20.1585145814081
671,114.34749603271484,197.57139587402344,1.727815673528157,-19.81437990584385
672,115.49150085449219,197.83670043945312,1.712997917385347,-18.28560087445851
